STT,Food_Code,Food_Name_Vietnamese,Food_Name_English,Waste_Pct_%,Water_g,Energy_kcal,Energy_kj,Protein_g,Fat_g,Carbohydrate_g,Fiber_g,Ash_g,Sugar_total_g,Galactose_g,Maltose_g,Lactose_g,Fructose_g,Glucose_g,Sucrose_g,Calcium_mg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_ug,Selenium_ug,Vitamin_C_mg,Vitamin_B1_mg,Vitamin_B2_mg,Niacin_mg,Vitamin_B5_mg,Vitamin_B6_mg,Folate_ug,Folic_acid_ug,Biotin_ug,Vitamin_B12_ug,Vitamin_A_ug,Vitamin_D_ug,Vitamin_E_mg,Vitamin_K_ug,Beta_caroten_ug,Alpha_caroten_ug,Beta_cryptoxanthin_ug,Lycopene_ug,Lutein_Zeaxanthin_ug,Purin_mg,Total_isoflavone_mg,Daidzein_mg,Genistein_mg,Glycetin_mg,Total_SFA_g,Palmitic_C16_0_g,Margaric_C17_0_g,Stearic_C18_0_g,Arachidic_C20_0_g,Behenic_C22_0_g,Lignoceric_C24_0_g,Total_MUFA_g,Myristoleic_C14_1_g,Palmitoleic_C16_1_g,Oleic_C18_1_g,Total_PUFA_g,Linoleic_C18_2_n6_g,Linolenic_C18_2_n3_g,Arachidonic_C20_4_g,EPA_C20_5_n3_g,DHA_C22_6_n3_g,Total_trans_FA_g,Cholesterol_mg,Phytosterol_mg,Lysine_mg,Methionine_mg,Tryptophan_mg,Phenylalanine_mg,Threonine_mg,Valine_mg,Leucine_mg,Isoleucine_mg,Arginine_mg,Histidine_mg,Cystine_mg,Tyrosine_mg,Alanine_mg,Aspartic_acid_mg,Glutamic_acid_mg,Glycine_mg,Proline_mg,Serine_mg
41,2018,Bột khoai riềng (bột đao),"Canna edulis Ker, flour",0.0,14.0,337,1411,0.2,,84.1,1.5,0.2,,,,,,,,16,,,,17,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
42,2019,Bột khoai tây (lọc),"Potato flour, white",0.0,13.6,345,1441,1.0,0.3,84.4,0.4,0.3,,,,,,,,30,3.00,,,125,,,,,,,0.01,,0.4,0.474,0.769,25,0,,0,0,,0.25,0,0,0,0,0,0,,,,,,0.090,0.060,0.000,0.010,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0,0.110,0.040,0.000,0.000,0.000,,0,,35,8,9,24,20,36,33,22,25,10,5,12,21,91,80,17,21,21
43,2020,Bột sắn,Cassava flour,0.0,14.0,333,1391,2.4,0.5,79.6,2.2,1.3,,,,,,,,84,,,,37,,,,,,,0.02,0.03,0.1,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
44,2021,Bột sắn dây,Radix puerariae flour,0.0,14.0,340,1423,0.7,,84.3,0.8,0.2,,,,,,,,18,1.50,,,20,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
45,2022,Khoai lang khô,"Sweet potato, dried",5.0,11.0,333,1395,2.2,0.5,80.0,3.6,2.7,,,,,,,,95,2.78,559,1.080,137,584,86,0.56,723,19.7,,0.09,0.07,1.7,2.225,0.581,31,0,,0,0,,0.72,5.0,417,,,,,,,,,,0.050,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.030,0.000,0.000,0.000,0.000,,0,,70,30,4,100,110,90,120,90,90,40,33,132,160,484,382,116,94,138
46,2023,Khoai tây khô,"Potato, white, dried",0.0,11.0,330,1379,6.6,0.3,75.1,3.4,3.6,,,,,,,,37,4.30,114,0.710,180,1410,25,1.07,819,1.78,,0.36,0.18,3.2,1.000,0.723,64,0,,0,0,,0.04,5.7,18,0,0,0,46,,,,,,0.080,0.050,0.000,0.010,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0,0.100,0.030,0.000,0.000,0.000,,0,,330,110,50,360,240,320,750,750,290,110,33,155,251,696,574,211,211,231
47,2024,Khoai tây lát chiên,"Potato crisp, fried",0.0,3.0,525,2195,2.2,35.4,49.3,6.3,3.8,,,,,,,,37,2.10,,,130,,,,,,1,0.15,0.02,4.6,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
48,2025,Sắn khô,Dried bitter cassava,5.0,11.0,340,1420,3.0,0.7,80.3,3.0,2.0,,,,,,,,96,7.90,,,81,,,,,,,0.06,0.05,0.8,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
49,2026,Trân châu sắn,"Tapioca, pearls E.P",0.0,14.0,341,1428,1.0,,84.3,0.6,0.1,,,,,,,,30,2.00,,,50,,,,,,,0.04,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
50,3001,Cùi dừa già,"Coconut meat, mature, raw",20.0,47.6,368,1540,4.8,36.0,6.2,4.2,1.2,,,,,,,,30,30.00,160,1.300,154,555,7,5.00,50,,2,0.10,0.01,0.2,0.3,0.054,26,0,,0,0,,0.24,0.2,0,0,0,0,0,,,,,,29.700,2.840,0.000,1.730,0.000,0.000,0.000,1.430,0.000,0.000,1.430,0,0.370,0.000,0.000,0.000,0.000,,0,,147,62,39,169,121,202,247,131,546,77,66,103,170,325,761,158,138,172
51,3002,Cùi dừa non,"Coconut meat, immature, raw",0.0,87.8,40,166,3.5,1.7,2.6,3.5,0.9,,,,,,,,4,1.00,,,53,,,,,,6,0.04,0.03,0.8,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
52,3003,Đậu cô ve (hạt),"French bean seeds, dried",10.0,14.0,321,1344,21.8,1.6,54.9,3.5,4.2,,,,,,,,96,,,,360,,,,,,,,,,,,,,,,0,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
53,3004,Đậu đen (hạt),"Black bean seeds, dried",2.0,14.0,325,1361,24.2,1.7,53.3,4.0,2.8,,,,,,,,56,6.10,,,354,,,,,,3,0.50,0.21,1.8,0.899,0.286,444,0,,,0,,0.22,6,30,,,,,222,0,0,0,0,0.370,0.340,0.000,0.020,0.000,0.000,0.000,0.120,0.000,0.000,0.120,0,0.330,0.280,0.000,0.000,0.000,,0,,1483,325,256,1168,909,1130,1725,954,1337,601,235,608,905,2613,3294,843,916,1175
54,3005,Đậu đũa (hạt),"Cow pea whole seeds, dried",10.0,14.0,320,1341,23.7,2.0,51.9,4.3,4.1,,,,,,,,110,6.50,,,382,,,,,,1,0.59,0.22,2.3,1.496,0.357,633,0,,0,0,,0.39,5,10,,,,,,0.03,0.01,0.02,,0.330,0.250,0.000,0.050,0.000,0.000,0.000,0.110,0.000,0.000,0.090,0,0.340,0.200,0.000,0.000,0.000,,0,,1503,312,323,1176,911,1554,1931,1514,1975,1140,123,592,908,2904,3594,871,1488,1198
55,3006,Đậu Hà lan (hạt),"Peas garden and field, seeds, dried",0.0,13.6,318,1330,22.2,1.4,54.1,6.0,2.7,,,,,,,,57,4.40,145,,303,135,9,4.00,930,0.4,0,0.77,0.18,3.1,1.758,0.174,274,0,,0,0,,0.09,14.5,70,,,,,,2.42,2.42,,,0.160,0.130,0.000,0.030,0.000,0.000,0.000,0.240,0.000,0.000,0.230,0,0.410,0.080,0.000,0.000,0.000,,0,135,1772,251,275,1132,872,1159,1760,1014,2188,597,373,711,1080,2896,4196,1092,1014,1080
56,3007,Đậu tương (đậu nành),"Yellow dried soybean seeds, dried",2.0,14.0,400,1674,34.0,18.4,24.6,4.5,4.5,,,,,,,,165,11.00,236,1.200,690,1504,2,3.80,300,1.5,4,0.54,0.29,2.3,0.793,0.377,375,0,60,0,0,,0.85,47,30,,,,,,151.17,67.79,72.51,10.88,2.880,2.120,0.000,0.710,0.000,0.000,0.000,4.400,0.000,0.060,4.350,11,9.930,1.330,0.000,0.000,0.000,,0,161,1970,680,480,1800,1600,1430,2240,1670,2410,780,485,988,1671,4361,7098,1551,1989,1851
57,3008,Đậu trắng hạt (Đậu Tây),"Kidney bean whole seeds, dried",2.0,14.0,327,1368,23.2,2.1,53.8,3.6,3.3,,,,,,,,160,6.80,,,514,,,,,,3,0.54,0.18,2.1,0.78,0.397,394,0,,0,0,,0.22,19,10,,,,,128,0.06,0.02,0.04,,0.120,0.110,0.000,0.010,0.000,0.000,0.000,0.060,0.000,0.000,0.060,0,0.180,0.280,0.000,0.000,0.000,,0,127,1160,300,320,1280,740,930,1460,950,1620,600,133,631,551,1976,3564,680,778,1069
58,3009,Đậu trứng cuốc,"Egg bird bean seeds, dried",2.0,14.0,321,1344,25.8,2.0,50.0,4.8,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
59,3010,Đậu xanh (đậu tắt),"Mungo bean seeds, dried",2.0,14.0,328,1371,23.4,2.4,53.1,4.7,2.4,,,,,,,,64,4.80,270,,377,1132,6,1.10,880,,4,0.72,0.15,2.4,1.91,0.382,625,0,0.7,0,0,,0.51,9,30,,,,,,0.19,0.01,0.18,,0.350,0.250,0.000,0.070,0.000,0.000,0.000,0.160,0.000,0.000,0.160,0,0.360,0.030,0.000,0.000,0.000,,0,23,2145,458,432,1259,736,989,1607,941,1470,663,113,556,809,2449,3122,758,802,908
60,3011,Hạt dẻ to,"Chestnut, Chinese whole, raw",30.0,9.0,638,2669,18.0,59.0,8.7,3.5,1.8,,,,,,,,61,2.30,,,510,,,,,,3,0.48,0.13,1.2,,,,,,,0,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
61,3012,Hạt dẻ tươi,"Chestnut, Chinese whole, raw",18.0,44.0,223,933,4.2,1.1,49.1,,1.7,,,,,,,,18,1.41,84,1.600,96,447,3,0.87,363,,36,0.16,0.18,0.8,0.555,0.41,68,0,1.3,0,0,,,,,,,,,,,,,,0.160,0.150,0.000,0.010,0.000,0.000,0.000,0.580,0.000,0.010,0.560,0,0.260,0.030,0.000,0.000,0.000,,0,,228,101,49,190,167,220,259,157,430,121,110,125,200,852,537,184,162,184
62,3013,Hạt dẻ khô,"Chestnut, dried",20.0,8.9,363,1517,6.8,1.8,79.8,,2.7,,,,,,,,29,2.29,137,2.600,155,726,5,1.41,590,,59,0.26,0.29,1.3,0.902,0.666,110,0,,0,0,,,,,,,,,,,,,,0.270,0.250,0.000,0.020,0.000,0.000,0.000,0.950,0.000,0.010,0.910,0,0.420,0.050,0.000,0.000,0.000,,0,,371,0,80,309,272,358,421,255,699,197,179,203,324,1385,873,299,263,299
63,3014,Hạt đen,Black seed,50.0,12.0,472,1976,17.3,29.0,35.5,3.5,2.7,,,,,,,,84,,,,255,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
64,3015,Hạt điều,"Cashew nut, common",0.0,3.4,605,2532,18.4,46.3,28.7,0.6,2.6,5.91,0,0,0,0.05,0.05,5.81,28,3.60,292,1.660,462,660,12,5.78,2195,19.9,1,0.25,0.34,2.4,0.864,0.417,25,0,,0,0,,0.9,34.1,5,,,,,,,,,,7.780,3.920,0.050,3.220,0.270,0.170,0.100,23.800,0.000,0.140,23.520,7,7.780,0.060,0.000,0.000,0.000,,0,,928,362,287,951,688,1094,1472,789,2123,456,393,508,837,1795,4506,937,812,1079
65,3016,Hạt mít,"Jack fruit, seed, raw",15.0,58.2,166,694,0.7,1.1,38.3,,1.7,,,,,,,,46,3.40,,,34,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
66,3017,Lạc hạt,Dried peanut seed,2.0,7.5,573,2395,27.5,44.5,15.5,2.5,2.5,,,,,,,,68,2.20,185,1.600,420,421,4,1.90,420,,,0.44,0.12,16.0,1.767,0.348,240,0,,0,0,,8.33,0,10,,,,,74,0.26,0.03,0.24,,6.830,5.150,0.000,1.100,0.000,0.000,0.000,24.430,0.000,0.010,23.760,15,15.560,0.000,0.000,0.000,0.000,,0,220,990,360,300,1680,770,1290,1760,880,2720,580,249,669,669,2952,5070,1287,1236,1557
67,3018,Quả cọ tươi,Palm fruit fresh,40.0,67.1,178,746,2.3,13.4,12.1,3.5,1.6,,,,,,,,38,0.20,,,34,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
68,3019,Quả đại hái tươi,Hodgsonia fruit,90.0,35.0,427,1786,20.0,38.0,1.2,3.4,2.4,,,,,,,,66,3.10,,,440,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
69,3020,"Vừng (đen, trắng)","Sesame oriental seeds, whole, dried black or white",5.0,7.6,568,2378,20.1,46.4,17.6,3.5,4.8,0.3,,,,,,,975,14.55,351,2.460,629,468,11,7.75,4082,5.7,0,0.79,0.25,4.5,0.05,0.79,97,0,,0,0,,0.25,0,15,,,,,62,,,,,6.960,4.440,0.000,2.090,0.000,0.000,0.000,18.760,0.000,0.150,18.520,21,21.380,0.380,0.000,0.000,0.000,,0,714,680,600,360,1410,680,1000,1410,840,1850,300,202,712,1082,1134,4154,1245,1245,982
70,3021,Bột đậu tương đã loại béo (đậu nành),"Soybeans flour, defatted",0.0,14.0,321,1343,49.0,1.0,29.0,2.5,4.5,,,,,,,,247,7.60,290,3.020,602,2384,20,2.46,4067,1.7,0,0.70,0.30,2.0,1.995,0.574,305,0,,0,0,,0.2,4.1,35,,,,,,131.19,57.47,71.21,7.55,0.140,0.100,0.000,0.030,0.000,0.000,0.000,0.210,0.000,0.000,0.210,0,0.470,0.060,0.000,0.000,0.000,,0,,3129,634,683,2453,2042,2346,3828,2281,3647,1268,757,1778,2215,5911,9106,2174,2750,2725
71,3022,Bột đậu tương rang chín,Roasted soybeans flour,0.0,10.0,418,1747,41.0,18.0,22.9,2.5,5.6,,,,,,,,189,7.50,,,540,,,,,,,0.40,0.16,2.0,,,,,,,0,,,,,,,,,,198.95,99.27,98.75,16.4,3.160,2.320,0.000,0.780,0.000,0.000,0.000,4.290,0.000,0.060,4.770,12,10.880,1.460,0.000,0.000,0.000,,0,,2316,469,506,1816,1511,1737,2834,1688,2700,938,561,1316,1639,4375,6740,1609,2035,2017
72,3023,Bột đậu xanh,Mungo bean flour,0.0,10.0,347,1451,24.6,2.5,56.5,3.9,2.5,,,,,,,,50,1.00,283,,100,1185,6,1.15,921,,4,0.75,0.16,2.5,1.999,0.400,654,0,0.73,0,0,,0.53,9.4,,,,,,,0.20,0.01,0.19,,0.360,0.260,0.000,0.070,0.000,0.000,0.000,0.170,0.000,0.000,0.170,0,0.370,0.030,0.000,0.000,0.000,,0,,2255,481,454,1324,774,1040,1689,989,1545,697,119,585,850,2575,3282,797,843,955
73,3024,Bột lạc,Peanut flour,0.0,8.0,575,2406,27.5,45.0,15.0,2.1,2.4,,,,,,,,80,3.00,182,1.570,380,414,4,1.87,413,,,0.40,0.11,15.3,1.739,0.342,236,0,,0,0,,8.20,0,10,,,,,73,0.26,0.03,0.24,,6.250,4.710,0.000,1.010,0.000,0.000,0.000,22.330,0.000,0.010,21.710,14,14.220,0.000,0.000,0.000,0.000,,0,,1055,384,320,1791,821,1375,1876,938,2899,618,265,713,713,3147,5404,1372,1317,1660
74,3025,Đậu phụ,"Soybean curt cake pressed, raw",0.0,82.0,95,397,10.9,5.4,0.7,0.4,0.6,,,,,,,,24,2.20,30,0.610,85,121,7,0.80,193,8.9,0,0.03,0.02,0.4,0.068,0.047,15,0,,0,0,,,,,,,,,68,23.61,9.02,13.60,1.98,0.690,0.510,0.000,0.170,0.000,0.000,0.000,1.060,0.000,0.010,1.040,2,2.380,0.320,0.000,0.000,0.000,,0,,460,108,133,443,235,364,618,360,472,264,108,233,261,845,1536,293,410,367
75,3026,Đậu phụ chúc,Curd tofu concentrated,0.0,18.5,414,1732,50.2,20.8,6.5,0.3,3.7,,,,,,,,325,10.80,,,225,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
76,3027,Đậu phụ nướng,"Curd tofu, fried",0.0,78.2,114,479,13.4,6.4,0.8,0.5,0.7,,,,,,,,370,4.70,,,167,,,,,,,0.04,0.05,0.1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
77,3028,Hạt bí đỏ rang,"Pumpkin seeds, fried",19.0,3.6,519,2170,35.1,31.8,23.0,2.3,4.2,,,,,,,,235,2.20,,,900,,,,,,,0.15,0.15,3.0,,,,,,,0,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1524,587,554,1319,1319,1834,2632,1801,4920,798,349,1042,1629,3080,5889,1939,2150,1352
78,3029,Hạt dưa đỏ rang (dưa hấu),"Water melon seeds whole, fried",22.0,4.8,551,2306,31.8,39.1,18.0,1.8,4.5,,,,,,,,237,3.00,,,751,,,,,,,0.03,0.14,2.7,,,,,,,0,,,,90,,,,,,,,,,8.000,3.800,0.000,4.200,0.000,0.000,0.000,29.000,0.000,0.000,5.800,,23.300,0.000,0.000,0.000,0.000,,0,,937,398,428,1096,1203,1447,2007,1447,4468,749,295,805,1447,2247,5324,1498,1391,1096
79,3030,"Hạt điều khô, chiên dầu","Cashew, common, roasted with oil",0.0,12.7,583,2437,18.3,49.3,16.4,0.7,2.6,,,,,,,,32,3.90,,,411,,,,,,,0.36,0.34,1.4,,,,,,,0,,,,5,,,,,,,,,,5.500,5.500,0.000,,0.000,0.000,0.000,41.100,0.000,0.000,32.100,,8.600,0.000,0.000,0.000,0.000,,0,,1062,194,347,888,868,1280,1388,868,1607,455,239,434,781,1801,3796,1020,1062,1214
80,3031,Sữa bột đậu nành,"Milk flour, made from roasted soybeans",0.0,3.5,405,1692,31.1,9.7,48.2,2.2,5.3,,,,,,,,224,7.50,,,320,,,,,,,0.40,0.16,2.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
81,3032,Sữa đậu nành (100g đậu/lít),Soybean milk (100 g soybean/l),0.0,94.4,28,119,3.1,1.6,0.4,0.1,0.4,,,,,,,,18,1.20,25,0.220,36,124,55,0.44,141,4.8,0,0.05,0.02,0.3,0.518,0.096,16,0,,0,0,0.40,1.35,3,,,,,,,9.65,4.45,6.06,0.56,0.230,0.170,0.000,0.060,0.000,0.000,0.000,0.380,0.000,0.000,0.360,0,0.680,0.090,0.000,0.000,0.000,,0,,162,42,42,162,152,176,230,162,196,69,23,108,137,348,539,152,230,172
82,3033,Tào phớ,"Tofu in light syrup (Tofu 160g, sirup 65ml)",0.0,90.0,37,153,2.3,0.2,6.4,0.2,0.9,,,,,,,,92,0.30,,,150,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
83,4001,Bầu,"Calabash, Bottle gourd",35.3,95.1,14,59,0.6,0.02,2.9,1.0,0.4,,,,,,,,21,0.20,11,0.070,25,150,2,0.70,26,0.2,12,0.02,0.03,0.4,0.152,0.04,6,0,,0,0,,,,10,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.010,0.000,0.000,0.000,0.000,,0,,,,,,,,,,,,,,,,,,,
84,4002,Bí đao (bí xanh),"Asgourd Waxgoured, Winter melon",25.0,95.5,12,50,0.6,,2.4,1.0,0.5,,,,,,,,26,0.30,8,,23,150,13,,,,16,0.01,0.02,0.3,,,,,,,0,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
85,4003,Bí ngô,Pumpkin squash,18.3,92.0,27,111,0.3,0.1,6.1,0.7,0.8,,,,,,,,24,0.50,10,16.000,16,349,8,0.10,210,0.3,8,0.06,0.03,0.4,0.298,0.061,16,0,0.4,0,0,0.00,1.06,1.1,3100,515,2145,0,1500,,,,,,0.050,0.040,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.010,0.010,0,0.000,0.000,0.000,0.000,0.000,,0,12,63,12,18,34,31,48,69,47,46,20,10,18,47,151,233,31,29,37
86,4004,Cà bát,"Egg plant big, Brinja aubergine",5.0,92.5,23,94,1.2,0.2,4.0,1.5,0.6,,,,,,,,12,0.70,14,0.250,16,230,2,0.16,82,0.3,3,0.03,0.04,0.5,0.281,0.084,22,0,,0,0,,0.3,3.5,40,,,,,,,,,,0.030,0.030,0.000,0.010,0.000,0.000,0.000,0.020,0.000,0.000,0.010,0,0.060,0.010,0.000,0.000,0.000,,0,7,43,13,15,36,23,41,58,36,81,18,9,47,32,115,198,31,29,49
87,4005,Cà chua,Tomato,5.0,94.0,20,85,0.6,0.2,4.0,0.8,0.4,2.63,0,0,0,1.37,1.25,0,12,1.40,15,0.210,26,275,12,0.74,90,0.5,40,0.06,0.04,0.5,0.089,0.08,15,0,,0,0,0.00,0.54,7.9,393,112,0,3025,130,11,,,,,0.050,0.020,0.000,0.010,0.000,0.000,0.000,0.050,0.000,0.000,0.030,0,0.080,0.000,0.000,0.000,0.000,,0,7,25,5,7,16,20,19,24,16,19,13,5,12,22,104,269,16,14,22
88,4006,Cà pháo,Egg plant - small,10.0,92.5,20,85,1.5,,3.6,1.6,0.8,,,,,,,,12,0.70,18,0.200,16,221,7,0.30,90,6.7,3,0.03,0.04,0.5,,,,,,,0,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,43,13,15,36,23,41,58,36,81,18,9,47,32,115,198,31,29,49
89,4007,"Cà rốt (củ đỏ, vàng)",Carrots,10.5,88.5,39,164,1.5,0.2,7.8,1.2,0.8,4.54,0,0,0,0.55,0.59,3.59,43,0.80,12,0.230,39,266,52,1.11,150,0.1,8,0.06,0.06,0.4,0.273,0.138,19,0,3.4,0,0,,,,8285,3477,125,1,256,17,,,,,0.040,0.040,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.010,0,0.120,0.000,0.000,0.000,0.000,,0,,39,12,7,27,29,44,44,30,44,14,10,22,48,117,194,29,28,32
90,4008,Cà rốt khô,Dried carrot,0.0,14.0,292,1221,9.2,1.5,60.4,9.6,5.3,,,,,,,,323,5.90,,,292,,,,,,,,,,,,,,,,0,,,,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
91,4009,Cà tím,Aubergine,5.0,92.5,22,92,1.0,,4.5,1.5,0.5,,,,,,,,15,0.40,,,34,,,,,,15,0.04,0.05,0.6,,,,,,,0,,,,10,,,,,21,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
92,4010,Cải bắp,"Cabbage, common",10.0,90.0,29,123,1.8,0.1,5.3,1.6,1.2,3.58,0,0.02,0,1.65,1.79,0.12,48,1.10,13,0.450,31,190,28,0.81,180,2.2,30,0.06,0.05,0.4,0.14,0.096,43,0,1.2,0,0,,0.15,60,65,0,0,0,310,22,,,,,0.020,0.010,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.010,0,0.030,0.030,0.000,0.000,0.000,,0,11,53,18,18,51,64,72,90,52,141,43,19,31,86,111,148,81,62,70
93,4011,Cải bắp đỏ,"Cabbage, red",22.0,84.0,45,190,1.9,0.2,9.0,4.0,0.9,3.91,0,0,0,1.53,1.8,0.58,83,0.50,16,0.240,42,243,27,0.22,17,0.6,60,0.07,0.05,0.8,0.147,0.209,18,0,0.1,0,0,0.00,0.11,38.2,670,0,0,20,329,32,,,,,0.030,0.030,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.020,0,0.050,0.070,0.000,0.000,0.000,,0,,59,20,20,57,71,80,101,59,158,48,21,35,96,124,165,90,69,78
94,4012,Cải bắp khô,"Dried cabbage, white",0.0,16.0,245,1026,18.0,1.6,39.7,14.0,10.7,,,,,,,,300,7.50,,,106,,,,,,2,0.15,0.52,0.5,,,,,,,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
95,4013,Cải cúc,Chrysanthemum. crown-daisy,25.0,93.8,14,59,1.6,,1.9,2.0,0.7,,,,,,,,63,0.80,32,0.700,38,219,33,0.67,180,0.3,27,0.01,0.03,0.2,0.221,0.176,177,0,,0,0,,,,1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
96,4014,Cải soong,Watercress,30.0,93.7,15,61,2.1,0.1,1.3,2.0,0.8,0.2,,,,,,,69,1.60,21,0.380,28,211,85,0.80,200,0.9,25,0.08,0.26,1.0,0.31,0.129,9,0,,0,0,0.00,1,250,2820,0,0,0,5767,28,,,,,0.030,0.020,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.010,0,0.010,0.020,0.000,0.000,0.000,,0,,134,20,30,114,133,137,166,93,150,40,7,63,137,187,190,112,96,60
97,4015,Cải thịa (cải trắng),"Chinese cabbage, white",25.0,93.2,17,71,1.4,0.2,2.4,1.8,1.0,1.18,,,,,,,50,0.70,25,0.500,30,200,25,0.75,90,0.5,26,0.09,0.07,0.4,0.088,0.194,66,0,,0,0,,0.09,35.8,2681,1,0,0,40,,,,,,0.030,0.020,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.010,0,0.040,0.050,0.000,0.000,0.000,,0,,89,9,15,44,49,66,88,85,84,26,17,29,86,108,360,43,31,48
98,4016,Cải xanh,"Mustard greens, India, leaves and stems",24.0,93.8,16,68,1.7,0.2,1.9,1.8,0.6,1.6,,,,,,,89,1.90,23,0.320,14,221,29,0.90,120,0.9,51,0.07,0.10,0.8,0.21,0.18,187,0,,0,0,,2.01,497.3,6300,0,0,0,9900,,,,,,0.010,0.010,0.000,0.000,0.000,0.000,0.000,0.090,0.000,0.000,0.020,0,0.020,0.020,0.000,0.000,0.000,,0,,123,25,30,72,72,105,83,98,197,48,40,143,,,,,,
99,4017,Cần ta,Water drop-wort; Celery water,20.0,95.3,10,42,1.0,,1.5,1.5,0.7,,,,,,,,310,3.00,,,64,,,,,,6,0.04,0.03,0.3,,,,,,,0,,,,2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
100,4018,Cần tây,"Celery, Chinese",16.0,85.0,48,201,3.7,0.2,7.9,1.5,1.7,1.83,0.66,0,0,0.51,0.55,0.11,325,8.00,18,0.200,128,326,96,0.30,90,0.4,150,0.06,0.07,0.4,0.246,0.074,36,0,,0,0,,0.27,29.3,150,0,0,0,232,,,,,,0.040,0.040,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.030,0,0.080,0.000,0.000,0.000,0.000,,0,6,27,5,9,20,20,27,32,21,20,12,4,9,23,117,90,21,18,20
101,4019,Chuối xanh,"Banana common varieties, unripe",32.0,80.2,74,311,1.2,0.5,16.4,1.0,0.8,1.95,,,,,,,26,0.40,17,0.100,27,256,13,0.25,94,0.3,31,0.05,0.02,0.6,0.265,0.357,29,0,,0,0,,0.69,9.5,184,39,0,0,0,,,,,,0.050,0.040,0.000,0.010,0.000,0.000,0.000,0.030,0.000,0.000,0.030,0,0.240,0.000,0.000,0.000,0.000,,0,3,,,,,,,,,,,,,,,,,,
